Date,Process CPU usage,Process memory usage,Request count,Response time
2022-10-21 12:00,3.27,27.49,5.29e6,8.98e-3
2022-10-21 13:00,4.30,27.56,7.81e6,7.79e-3
2022-10-21 14:00,4.32,27.73,4.58e6,13.3e-3
2022-10-21 15:00,3.48,27.85,5.02e6,9.85e-3
2022-10-21 16:00,4.17,28.21,7.27e6,8.11e-3
2022-10-21 17:00,3.40,28.71,8.05e6,5.91e-3
2022-10-21 18:00,6.19,28.63,5.65e6,15.4e-3
2022-10-21 19:00,3.03,28.79,3.68e6,11.8e-3
2022-10-21 20:00,2.52,28.44,4.1e6,8.62e-3
2022-10-21 21:00,3.35,28.20,7.94e6,5.89e-3
2022-10-21 22:00,2.35,27.76,4.03e6,7.95e-3
2022-10-21 23:00,1.68,27.73,2.91e6,9.32e-3
2022-10-22 00:00,2.50,28.28,4.07e6,9.26e-3
2022-10-22 01:00,2.97,29.97,6.93e6,6.27e-3
2022-10-22 02:00,2.79,28.47,3.92e6,9.67e-3
2022-10-22 03:00,1.75,28.71,2.99e6,7.92e-3
2022-10-22 04:00,3.12,28.97,5.77e6,7.52e-3
2022-10-22 05:00,4.73,29.65,11.2e6,5.85e-3
2022-10-22 06:00,4.42,28.82,6.96e6,8.7e-3
2022-10-22 07:00,3.15,29.11,6.89e6,6.31e-3
2022-10-22 08:00,2.86,29.18,5.28e6,7.61e-3
2022-10-22 09:00,2.76,28.89,7.02e6,5.52e-3
2022-10-22 10:00,3.64,28.62,4.08e6,12.5e-3
2022-10-22 11:00,2.42,28.52,4.4e6,7.63e-3
2022-10-22 12:00,2.24,28.13,4e6,7.72e-3
2022-10-22 13:00,2.98,26.64,7.82e6,5.3e-3
2022-10-22 14:00,2.73,23.42,4.88e6,7.88e-3
2022-10-22 15:00,1.39,22.23,2.6e6,7.18e-3
2022-10-22 16:00,2.26,25.15,4.13e6,7.55e-3
2022-10-22 17:00,3.01,26.69,7.46e6,5.54e-3
2022-10-22 18:00,4.07,25.75,4.97e6,11.4e-3
2022-10-22 19:00,2.19,25.83,3.66e6,8.42e-3
2022-10-22 20:00,2.62,25.87,4.66e6,7.83e-3
2022-10-22 21:00,2.89,25.86,7.47e6,5.43e-3
2022-10-22 22:00,2.20,25.24,3.87e6,7.76e-3
2022-10-22 23:00,1.71,25.20,3.08e6,9.19e-3
2022-10-23 00:00,2.38,25.65,3.77e6,9.71e-3
2022-10-23 01:00,3.36,27.91,7.58e6,6.49e-3
2022-10-23 02:00,2.54,26.16,4.05e6,8.51e-3
2022-10-23 03:00,1.58,24.87,2.82e6,7.62e-3
2022-10-23 04:00,2.82,23.43,5.12e6,7.65e-3
2022-10-23 05:00,4.41,21.90,11.5e6,5.31e-3
2022-10-23 06:00,4.48,19.73,8.18e6,7.58e-3
2022-10-23 07:00,3.19,17.51,7.28e6,6.15e-3
2022-10-23 08:00,2.67,16.51,4.8e6,8.16e-3
2022-10-23 09:00,2.99,16.77,7.76e6,5.59e-3
2022-10-23 10:00,2.82,16.04,3.83e6,10.7e-3
2022-10-23 11:00,2.44,16.30,5.05e6,7e-3
2022-10-23 12:00,2.32,16.34,4.86e6,6.71e-3
2022-10-23 13:00,3.27,16.38,8.9e6,5.15e-3
2022-10-23 14:00,2.52,16.38,4.56e6,7.77e-3
2022-10-23 15:00,1.22,16.40,2.52e6,6.69e-3
2022-10-23 16:00,2.15,21.69,4.04e6,7.42e-3
2022-10-23 17:00,2.80,21.60,7.41e6,5.17e-3
2022-10-23 18:00,2.73,21.60,2.97e6,12.7e-3
2022-10-23 19:00,1.50,21.68,1.82e6,11.7e-3
2022-10-23 20:00,2.16,21.87,2.89e6,10.4e-3
2022-10-23 21:00,2.19,22.38,5.23e6,5.87e-3
2022-10-23 22:00,1.39,21.66,1.72e6,10.9e-3
2022-10-23 23:00,1.27,23.31,1.56e6,14.1e-3
2022-10-24 00:00,1.92,24.56,2.22e6,14.1e-3
2022-10-24 01:00,3.40,26.08,7.72e6,6.33e-3
2022-10-24 02:00,2.07,26.14,2.11e6,13.5e-3
2022-10-24 03:00,1.00,26.52,905e3,14.6e-3
2022-10-24 04:00,2.10,26.40,3.14e6,9.34e-3
2022-10-24 05:00,4.16,26.46,10.2e6,5.64e-3
2022-10-24 06:00,3.85,26.88,6.01e6,8.82e-3
2022-10-24 07:00,3.09,27.81,5.91e6,7.3e-3
2022-10-24 08:00,3.52,28.44,5.84e6,8.72e-3
2022-10-24 09:00,3.49,27.58,7.79e6,6.32e-3
2022-10-24 10:00,3.86,26.77,4.55e6,11.9e-3
2022-10-24 11:00,3.65,26.63,4.37e6,11.8e-3
2022-10-24 12:00,2.85,26.48,2.79e6,14.5e-3
2022-10-24 13:00,2.27,26.43,5.31e6,5.96e-3
2022-10-24 14:00,1.88,26.32,2.51e6,10.4e-3
2022-10-24 15:00,0.79,26.29,1.03e6,10.2e-3
2022-10-24 16:00,2.01,24.79,2.46e6,11.3e-3
2022-10-24 17:00,3.26,24.52,6.95e6,6.42e-3
2022-10-24 18:00,5.93,24.60,5.17e6,16.1e-3
2022-10-24 19:00,4.58,25.35,4.84e6,13.3e-3
2022-10-24 20:00,4.25,25.32,6.44e6,9.17e-3
2022-10-24 21:00,4.30,24.87,9.46e6,6.42e-3
2022-10-24 22:00,3.46,24.20,5.49e6,8.63e-3
2022-10-24 23:00,1.69,24.27,2.34e6,12e-3
2022-10-25 00:00,2.33,24.97,2.99e6,11.9e-3
2022-10-25 01:00,3.54,25.21,8.27e6,6.24e-3
2022-10-25 02:00,3.28,25.04,5.06e6,8.91e-3
2022-10-25 03:00,2.11,25.54,3.63e6,7.9e-3
2022-10-25 04:00,3.45,25.44,5.75e6,8.39e-3
2022-10-25 05:00,5.31,25.54,11.8e6,6.24e-3
2022-10-25 06:00,5.77,25.75,10.2e6,7.83e-3
2022-10-25 07:00,4.08,26.04,9.29e6,6.18e-3
2022-10-25 08:00,3.81,26.63,6.58e6,8.18e-3
